movieId,title,genres,imdbId,tmdbId,avg_rating,last_rating_date,tag,release_year,movie_age,num_genres,main_genre,N0_of_tags,rating_year
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,3.9209302325581397,2018-08-31 10:01:06,"fun, pixar",1995,30,5,Adventure,2,2018
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0,3.4318181818181817,2018-06-25 04:42:03,"Robin Williams, fantasy, game, magic board game",1995,30,3,Adventure,4,2018
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602.0,3.2596153846153846,2017-06-26 19:24:31,"moldy, old",1995,30,2,Comedy,2,2017
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357.0,2.357142857142857,2009-03-22 22:14:15,Unknown,1995,30,3,Comedy,0,2009
5,Father of the Bride Part II (1995),Comedy,113041,11862.0,3.0714285714285716,2018-01-31 23:28:39,"pregnancy, remake",1995,30,1,Comedy,2,2018
6,Heat (1995),Action|Crime|Thriller,113277,949.0,3.946078431372549,2018-07-03 17:06:27,Unknown,1995,30,3,Action,0,2018
7,Sabrina (1995),Comedy|Romance,114319,11860.0,3.185185185185185,2017-06-26 21:56:01,remake,1995,30,2,Comedy,1,2017
8,Tom and Huck (1995),Adventure|Children,112302,45325.0,2.875,2007-02-21 04:08:12,Unknown,1995,30,2,Adventure,0,2007
9,Sudden Death (1995),Action,114576,9091.0,3.125,2017-06-26 19:22:40,Unknown,1995,30,1,Action,0,2017
10,GoldenEye (1995),Action|Adventure|Thriller,113189,710.0,3.496212121212121,2018-09-17 04:12:53,Unknown,1995,30,3,Action,0,2018
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087.0,3.6714285714285713,2018-08-11 01:01:37,"politics, president",1995,30,3,Comedy,2,2018
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110.0,2.4210526315789473,2018-02-21 02:56:27,Unknown,1995,30,2,Comedy,0,2018
13,Balto (1995),Adventure|Animation|Children,112453,21032.0,3.125,2017-05-08 02:54:42,Unknown,1995,30,3,Adventure,0,2017
14,Nixon (1995),Drama,113987,10858.0,3.8333333333333335,2005-07-08 12:54:07,"politics, president",1995,30,1,Drama,2,2005
15,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408.0,3.0,2018-02-21 19:04:02,Unknown,1995,30,3,Action,0,2018
16,Casino (1995),Crime|Drama,112641,524.0,3.926829268292683,2018-08-10 03:42:33,Mafia,1995,30,2,Crime,1,2018
17,Sense and Sensibility (1995),Drama|Romance,114388,4584.0,3.7761194029850746,2017-12-23 00:46:07,Jane Austen,1995,30,2,Drama,1,2017
18,Four Rooms (1995),Comedy,113101,5.0,3.7,2018-07-29 20:47:11,Unknown,1995,30,1,Comedy,0,2018
