movieId,title,genres,imdbId,tmdbId,avg_rating,last_rating_date,tag,release_year,movie_age,num_genres,main_genre,N0_of_tags,rating_year
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,3.9,1970-01-01 00:00:01.535709666,"fun, pixar",1995,30,5,Adventure,2,1970
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0,3.4,1970-01-01 00:00:01.529901723,"Robin Williams, fantasy, game, magic board game",1995,30,3,Adventure,4,1970
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602.0,3.3,1970-01-01 00:00:01.498505071,"moldy, old",1995,30,2,Comedy,2,1970
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357.0,2.4,1970-01-01 00:00:01.237760055,Unknown,1995,30,3,Comedy,0,1970
5,Father of the Bride Part II (1995),Comedy,113041,11862.0,3.1,1970-01-01 00:00:01.517441319,"pregnancy, remake",1995,30,1,Comedy,2,1970
6,Heat (1995),Action|Crime|Thriller,113277,949.0,3.9,1970-01-01 00:00:01.530637587,Unknown,1995,30,3,Action,0,1970
7,Sabrina (1995),Comedy|Romance,114319,11860.0,3.2,1970-01-01 00:00:01.498514161,remake,1995,30,2,Comedy,1,1970
8,Tom and Huck (1995),Adventure|Children,112302,45325.0,2.9,1970-01-01 00:00:01.172030892,Unknown,1995,30,2,Adventure,0,1970
9,Sudden Death (1995),Action,114576,9091.0,3.1,1970-01-01 00:00:01.498504960,Unknown,1995,30,1,Action,0,1970
10,GoldenEye (1995),Action|Adventure|Thriller,113189,710.0,3.5,1970-01-01 00:00:01.537157573,Unknown,1995,30,3,Action,0,1970
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087.0,3.7,1970-01-01 00:00:01.533949297,"politics, president",1995,30,3,Comedy,2,1970
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110.0,2.4,1970-01-01 00:00:01.519181787,Unknown,1995,30,2,Comedy,0,1970
13,Balto (1995),Adventure|Animation|Children,112453,21032.0,3.1,1970-01-01 00:00:01.494212082,Unknown,1995,30,3,Adventure,0,1970
14,Nixon (1995),Drama,113987,10858.0,3.8,1970-01-01 00:00:01.120827247,"politics, president",1995,30,1,Drama,2,1970
15,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408.0,3.0,1970-01-01 00:00:01.519239842,Unknown,1995,30,3,Action,0,1970
16,Casino (1995),Crime|Drama,112641,524.0,3.9,1970-01-01 00:00:01.533872553,Mafia,1995,30,2,Crime,1,1970
17,Sense and Sensibility (1995),Drama|Romance,114388,4584.0,3.8,1970-01-01 00:00:01.513989967,Jane Austen,1995,30,2,Drama,1,1970
18,Four Rooms (1995),Comedy,113101,5.0,3.7,1970-01-01 00:00:01.532897231,Unknown,1995,30,1,Comedy,0,1970
19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273.0,2.7,1970-01-01 00:00:01.513989970,Unknown,1995,30,1,Comedy,0,1970
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,11517.0,2.5,1970-01-01 00:00:01.498504813,Unknown,1995,30,5,Action,0,1970
21,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012.0,3.5,1970-01-01 00:00:01.513989975,Hollywood,1995,30,3,Comedy,1,1970
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710.0,3.2,1970-01-01 00:00:01.533947171,serial killer,1995,30,5,Crime,1,1970
23,Assassins (1995),Action|Crime|Thriller,112401,9691.0,3.1,1970-01-01 00:00:01.498503332,Unknown,1995,30,3,Action,0,1970
24,Powder (1995),Drama|Sci-Fi,114168,12665.0,3.1,1970-01-01 00:00:01.518640854,Unknown,1995,30,2,Drama,0,1970
25,Leaving Las Vegas (1995),Drama|Romance,113627,451.0,3.6,1970-01-01 00:00:01.518197993,alcoholism,1995,30,2,Drama,1,1970
26,Othello (1995),Drama,114057,16420.0,3.5,1970-01-01 00:00:01.498518655,Shakespeare,1995,30,1,Drama,1,1970
27,Now and Then (1995),Children|Drama,114011,9263.0,3.3,1970-01-01 00:00:01.424487740,Unknown,1995,30,2,Children,0,1970
28,Persuasion (1995),Drama|Romance,114117,17015.0,4.2,1970-01-01 00:00:01.436031727,"In Netflix queue, Jane Austen",1995,30,2,Drama,2,1970
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902.0,4.0,1970-01-01 00:00:01.498500987,kidnapping,1995,30,5,Adventure,1,1970
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012,37557.0,3.0,1970-01-01 00:00:01.039399501,Unknown,1995,30,2,Crime,0,1970
31,Dangerous Minds (1995),Drama,112792,9909.0,3.2,1970-01-01 00:00:01.530642798,"high school, teacher",1995,30,1,Drama,2,1970
